t,reward,dopamine,serotonin,rolling_acc,W_mean,choice,truth,pA,pB,score_A,score_B
0,1.0,0.05,0.01,1.0,0.2989360651267207,A,A,0.8156028215624074,0.1843971784375925,2.3934177442481803,0.9065822557518196
1,1.0,0.0975,0.0199,1.0,0.2989360651267207,A,A,0.8160535640100146,0.18394643598998536,2.3949176942501804,0.9050823057498196
2,-0.5,0.06762499999999999,0.014700999999999999,0.6666666666666666,0.2989360651267207,B,A,0.8164988696436227,0.18350113035637725,2.3964023502806366,0.9035976497193636
3,1.0,0.11424374999999999,0.024553989999999998,0.75,0.2989360651267207,A,A,0.81626513734387,0.18373486265612995,2.3956227354033466,0.9043772645966536
4,-0.5,0.08353156249999999,0.019308450099999996,0.6,0.2989360651267207,B,A,0.646549028376219,0.353450971623781,1.9519521251872392,1.3480478748127607
5,1.0,0.12935498437499998,0.029115365598999993,0.6666666666666666,0.2989360651267207,A,A,0.8164722890642726,0.18352771093572745,2.3963136518916532,0.9036863481083467
6,1.0,0.17288723515624999,0.038824211943009994,0.7142857142857143,0.2989360651267207,A,A,0.7353811072509059,0.26461889274909417,2.1610491138988763,1.138950886101124
7,-0.5,0.1392428733984375,0.033435969823579895,0.625,0.29893378556727224,B,A,0.8173472018750754,0.1826527981249247,2.399238451778281,0.9007615482217189
8,1.0,0.1822807297285156,0.043101610125344095,0.6666666666666666,0.29893028789509724,A,A,0.8171060693021747,0.1828939306978252,2.3984312715464755,0.9015687284535248
9,-0.5,0.14816669324208984,0.037670594024090655,0.6,0.2989278118521751,A,B,0.8627152478326998,0.13728475216730018,2.5690137143653486,0.7309862856346513
10,-0.5,0.11575835857998534,0.03229388808384975,0.5454545454545454,0.29892623230082666,A,B,0.8625224779778327,0.1374775220221673,2.56820039122449,0.7317996087755098
11,-0.5,0.08497044065098608,0.02697094920301125,0.5,0.29892509857175537,A,B,0.862331333887168,0.13766866611283202,2.5673948734296266,0.7326051265703734
12,1.0,0.1307219186184368,0.03670123971098114,0.5384615384615384,0.29892050294498074,B,B,0.5973312572426551,0.40266874275734493,1.8471787917973999,1.4528212082026
